#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
3839.97;0;179;0;2;0/3839.97;0/2934.91,1/2965.54;0/0;0/3839.97,1/3839.97;0/0;0/59,1/57;0/0;0/60,1/57;0/0;0/0,1/0;0/0;0/91,1/88;0/0;0/92,1/89
3899.99;0;180;0;2;0/3899.99;0/2984.95,1/3025.56;0/0;0/3899.99,1/3899.99;0/0;0/59,1/56;0/0;0/59,1/57;0/0;0/0,1/0;0/0;0/92,1/88;0/0;0/93,1/89
3959.85;0;181;0;2;0/3959.85;0/3044.81,1/3075.69;0/0;0/3959.85,1/3959.85;0/0;0/58,1/56;0/0;0/59,1/56;0/0;0/0,1/0;0/0;0/92,1/89;0/0;0/93,1/90
4019.92;0;183;0;2;0/4019.92;0/3095.04,1/3129.45;0/0;0/4019.92,1/4019.92;0/0;0/57,1/54;0/0;0/58,1/55;0/0;0/0,1/0;0/0;0/93,1/90;0/0;0/94,1/91
4079.96;0;186;0;2;0/4079.96;0/3146.02,1/3166.48;0/0;0/4079.96,1/4079.96;0/0;0/55,1/53;0/0;0/57,1/53;0/0;0/0,1/0;0/0;0/94,1/92;0/0;0/95,1/93
4139.61;0;188;0;2;0/4139.61;0/3185.14,1/3225.83;0/0;0/4139.61,1/4139.61;0/0;0/53,1/55;0/0;0/55,1/56;0/0;0/0,1/0;0/0;0/96,1/92;0/0;0/97,1/93
4199.95;0;191;0;2;0/4199.95;0/3229.5,1/3276.4;0/0;0/4199.95,1/4199.95;0/0;0/58,1/55;0/0;0/59,1/55;0/0;0/0,1/0;0/0;0/98,1/93;0/0;0/99,1/94
4259.98;0;193;0;2;0/4259.98;0/3275.99,1/3327.19;0/0;0/4259.98,1/4259.98;0/0;0/61,1/52;0/0;0/62,1/54;0/0;0/0,1/0;0/0;0/99,1/94;0/0;0/100,1/95
4319.92;0;197;0;2;0/4319.92;0/3316.01,1/3373.12;0/0;0/4319.92,1/4319.92;0/0;0/62,1/52;0/0;0/64,1/52;0/0;0/0,1/0;0/0;0/101,1/96;0/0;0/102,1/97
4379.84;0;199;0;2;0/4379.84;0/3356.23,1/3426.78;0/0;0/4379.84,1/4379.84;0/0;0/62,1/51;0/0;0/62,1/55;0/0;0/0,1/0;0/0;0/103,1/96;0/0;0/104,1/97
