#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
3899.94;0;322;0;2;0/3899.94;0/1155.37,1/1340.89;0/0;0/3899.94,1/3899.94;0/0;0/8,1/0;0/0;0/10,1/3;0/0;0/0,1/0;0/0;0/164,1/158;0/0;0/279,1/261
3959.91;0;326;0;2;0/3959.91;0/1166.47,1/1359.28;0/0;0/3959.91,1/3959.91;0/0;0/1,1/4;0/0;0/5,1/6;0/0;0/0,1/0;0/0;0/166,1/160;0/0;0/284,1/265
4019.85;0;333;0;2;0/4019.85;0/1168.42,1/1361.49;0/0;0/4019.85,1/4019.85;0/0;0/0,1/1;0/0;0/2,1/3;0/0;0/0,1/0;0/0;0/170,1/163;0/0;0/290,1/271
4079.83;0;335;0;2;0/4079.83;0/1217.42,1/1386.96;0/0;0/4079.83,1/4079.83;0/0;0/0,1/0;0/0;0/4,1/0;0/0;0/0,1/0;0/0;0/170,1/165;0/0;0/291,1/274
4139.61;0;339;0;2;0/4139.61;0/1238.34,1/1446.74;0/0;0/4139.61,1/4139.61;0/0;0/0,1/3;0/0;0/0,1/6;0/0;0/0,1/0;0/0;0/174,1/165;0/0;0/295,1/274
4199.97;0;340;0;2;0/4199.97;0/1298.7,1/1497.27;0/0;0/4199.97,1/4199.97;0/0;0/6,1/0;0/0;0/7,1/5;0/0;0/0,1/0;0/0;0/174,1/166;0/0;0/295,1/275
4259.61;0;347;0;2;0/4259.61;0/1313.38,1/1507.73;0/0;0/4259.61,1/4259.61;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/0,1/0;0/0;0/176,1/171;0/0;0/300,1/280
4319.86;0;351;0;2;0/4319.86;0/1349.97,1/1553.64;0/0;0/4319.86,1/4319.86;0/0;0/1,1/0;0/0;0/5,1/1;0/0;0/0,1/0;0/0;0/178,1/173;0/0;0/302,1/282
4379.91;0;357;0;2;0/4379.91;0/1361.79,1/1588.64;0/0;0/4379.91,1/4379.91;0/0;0/3,1/9;0/0;0/6,1/11;0/0;0/0,1/0;0/0;0/182,1/175;0/0;0/307,1/284
4439.96;0;361;0;2;0/4439.96;0/1370.7,1/1596.77;0/0;0/4439.96,1/4439.96;0/0;0/6,1/1;0/0;0/7,1/5;0/0;0/0,1/0;0/0;0/184,1/177;0/0;0/312,1/290
4499.91;0;367;0;2;0/4499.91;0/1388.52,1/1598.81;0/0;0/4499.91,1/4499.91;0/0;0/5,1/12;0/0;0/8,1/13;0/0;0/0,1/0;0/0;0/186,1/181;0/0;0/317,1/296
4559.96;0;375;0;2;0/4559.96;0/1390.34,1/1605.34;0/0;0/4559.96,1/4559.96;0/0;0/8,1/9;0/0;0/9,1/12;0/0;0/0,1/0;0/0;0/191,1/184;0/0;0/323,1/301
4619.67;0;382;0;2;0/4619.67;0/1407.69,1/1611.04;0/0;0/4619.67,1/4619.67;0/0;0/6,1/3;0/0;0/8,1/6;0/0;0/0,1/0;0/0;0/194,1/188;0/0;0/327,1/307
4679.98;0;389;0;2;0/4679.98;0/1412.32,1/1615.45;0/0;0/4679.98,1/4679.98;0/0;0/5,1/5;0/0;0/8,1/7;0/0;0/0,1/0;0/0;0/197,1/192;0/0;0/333,1/312
4739.83;0;394;0;2;0/4739.83;0/1413.61,1/1628.85;0/0;0/4739.83,1/4739.83;0/0;0/0,1/1;0/0;0/2,1/2;0/0;0/0,1/0;0/0;0/200,1/194;0/0;0/339,1/317
4799.99;0;399;0;2;0/4799.99;0/1443.1,1/1665.25;0/0;0/4799.99,1/4799.99;0/0;0/0,1/3;0/0;0/5,1/4;0/0;0/0,1/0;0/0;0/203,1/196;0/0;0/342,1/319
4859.81;0;405;0;2;0/4859.81;0/1459.34,1/1691.6;0/0;0/4859.81,1/4859.81;0/0;0/0,1/0;0/0;0/1,1/0;0/0;0/0,1/0;0/0;0/207,1/198;0/0;0/346,1/323
4919.78;0;406;0;2;0/4919.78;0/1507.23,1/1745.78;0/0;0/4919.78,1/4919.78;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
4979.78;0;406;0;2;0/4979.78;0/1567.23,1/1805.78;0/0;0/4979.78,1/4979.78;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5039.85;0;406;0;2;0/5039.85;0/1627.3,1/1865.84;0/0;0/5039.85,1/5039.85;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5099.65;0;406;0;2;0/5099.65;0/1687.09,1/1925.64;0/0;0/5099.65,1/5099.65;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5159.69;0;406;0;2;0/5159.69;0/1747.13,1/1985.68;0/0;0/5159.69,1/5159.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5219.93;0;406;0;2;0/5219.93;0/1807.38,1/2045.93;0/0;0/5219.93,1/5219.93;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5279.64;0;406;0;2;0/5279.64;0/1867.09,1/2105.63;0/0;0/5279.64,1/5279.64;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5339.98;0;406;0;2;0/5339.98;0/1927.43,1/2165.98;0/0;0/5339.98,1/5339.98;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5399.59;0;406;0;2;0/5399.59;0/1987.04,1/2225.59;0/0;0/5399.59,1/5399.59;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5459.84;0;406;0;2;0/5459.84;0/2047.29,1/2285.83;0/0;0/5459.84,1/5459.84;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5519.88;0;406;0;2;0/5519.88;0/2107.33,1/2345.88;0/0;0/5519.88,1/5519.88;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5579.79;0;406;0;2;0/5579.79;0/2167.24,1/2405.79;0/0;0/5579.79,1/5579.79;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5639.62;0;406;0;2;0/5639.62;0/2227.07,1/2465.61;0/0;0/5639.62,1/5639.62;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5699.74;0;406;0;2;0/5699.74;0/2287.19,1/2525.74;0/0;0/5699.74,1/5699.74;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5759.99;0;406;0;2;0/5759.99;0/2347.44,1/2585.99;0/0;0/5759.99,1/5759.99;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5819.96;0;406;0;2;0/5819.96;0/2407.41,1/2645.96;0/0;0/5819.96,1/5819.96;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5879.94;0;406;0;2;0/5879.94;0/2467.39,1/2705.94;0/0;0/5879.94,1/5879.94;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5939.77;0;406;0;2;0/5939.77;0/2527.22,1/2765.77;0/0;0/5939.77,1/5939.77;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
5999.94;0;406;0;2;0/5999.94;0/2587.39,1/2825.93;0/0;0/5999.94,1/5999.94;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
6059.72;0;406;0;2;0/6059.72;0/2647.17,1/2885.72;0/0;0/6059.72,1/6059.72;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
6119.97;0;406;0;2;0/6119.97;0/2707.42,1/2945.96;0/0;0/6119.97,1/6119.97;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
6179.67;0;406;0;2;0/6179.67;0/2767.12,1/3005.67;0/0;0/6179.67,1/6179.67;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
6239.92;0;406;0;2;0/6239.92;0/2827.37,1/3065.92;0/0;0/6239.92,1/6239.92;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
6299.89;0;406;0;2;0/6299.89;0/2887.34,1/3125.89;0/0;0/6299.89,1/6299.89;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
6359.87;0;406;0;2;0/6359.87;0/2947.32,1/3185.87;0/0;0/6359.87,1/6359.87;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
6419.7;0;406;0;2;0/6419.7;0/3007.15,1/3245.7;0/0;0/6419.7,1/6419.7;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
6479.98;0;406;0;2;0/6479.98;0/3067.43,1/3305.98;0/0;0/6479.98,1/6479.98;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/208,1/198;0/0;0/347,1/323
