#TimeStamp;Bot;Pod;OutputStation
4526.49;1;41;0
4533.82;2;169;1
4536.86;3;132;0
4543.91;2;169;1
4546.87;4;137;0
4553.81;1;41;1
4556.91;5;60;0
4563.91;1;41;1
4573.65;3;132;1
4583.55;0;141;0
4583.82;4;137;1
4593.56;0;141;0
4593.96;5;60;1
4603.23;1;41;0
4603.61;5;60;1
4613.49;3;132;0
4617.97;0;141;1
4626.47;4;137;0
4627.9;2;55;1
4636.7;4;137;0
4638.01;1;41;1
4646.62;4;137;0
4648.23;1;41;1
4656.78;5;60;0
4658.28;3;132;1
4666.83;0;141;0
4671.73;4;137;1
4677.01;0;141;0
4681.73;4;137;1
4687.12;0;141;0
4691.74;5;60;1
4697.29;2;55;0
4701.83;5;60;1
4707.29;2;55;0
4711.96;5;60;1
4717.06;3;132;0
4727.43;1;41;0
4733.79;2;55;1
4737.65;1;41;0
4747.66;4;137;0
4757.7;5;60;0
4771.5;4;137;1
4786.81;0;122;1
4796.86;3;159;0
4820;1;152;0
4820.56;3;159;1
4830.61;3;159;1
4832.34;4;137;0
4840.55;3;159;1
4842.39;0;122;0
4852.38;2;100;0
4855.87;1;152;1
4864.07;5;4;0
