#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
4199.84;0;82;0;2;0/4199.84;0/153.98,1/1481.89;0/0;0/4199.84,1/4199.84;0/0;0/17,1/12;0/0;0/21,1/13;0/0;0/0,1/0;0/0;0/48,1/34;0/0;0/414,1/278
4259.88;0;82;0;2;0/4259.88;0/155.02,1/1483.65;0/0;0/4259.88,1/4259.88;0/0;0/14,1/18;0/0;0/18,1/19;0/0;0/0,1/0;0/0;0/48,1/34;0/0;0/420,1/284
4319.95;0;83;0;2;0/4319.95;0/156.07,1/1491.3;0/0;0/4319.95,1/4319.95;0/0;0/11,1/13;0/0;0/15,1/14;0/0;0/0,1/0;0/0;0/49,1/34;0/0;0/426,1/289
4379.97;0;86;0;2;0/4379.97;0/157.31,1/1541.52;0/0;0/4379.97,1/4379.97;0/0;0/9,1/15;0/0;0/13,1/16;0/0;0/0,1/0;0/0;0/51,1/35;0/0;0/431,1/290
4439.76;0;87;0;2;0/4439.76;0/159.72,1/1546.44;0/0;0/4439.76,1/4439.76;0/0;0/14,1/16;0/0;0/20,1/16;0/0;0/0,1/0;0/0;0/51,1/36;0/0;0/437,1/296
4499.59;0;87;0;2;0/4499.59;0/162.02,1/1602.66;0/0;0/4499.59,1/4499.59;0/0;0/14,1/19;0/0;0/20,1/19;0/0;0/0,1/0;0/0;0/51,1/36;0/0;0/443,1/296
4559.95;0;89;0;2;0/4559.95;0/164.76,1/1658.56;0/0;0/4559.95,1/4559.95;0/0;0/18,1/18;0/0;0/23,1/18;0/0;0/0,1/0;0/0;0/52,1/37;0/0;0/449,1/297
4619.76;0;90;0;2;0/4619.76;0/166.18,1/1712.87;0/0;0/4619.76,1/4619.76;0/0;0/14,1/18;0/0;0/20,1/18;0/0;0/0,1/0;0/0;0/53,1/37;0/0;0/455,1/297
4679.88;0;91;0;2;0/4679.88;0/167.9,1/1772.99;0/0;0/4679.88,1/4679.88;0/0;0/12,1/18;0/0;0/17,1/18;0/0;0/0,1/0;0/0;0/54,1/37;0/0;0/461,1/297
4739.61;0;93;0;2;0/4739.61;0/169.33,1/1832.72;0/0;0/4739.61,1/4739.61;0/0;0/9,1/17;0/0;0/14,1/18;0/0;0/0,1/0;0/0;0/56,1/37;0/0;0/467,1/297
