#TimeStamp;Bot;Pod;OutputStation
3677.23;3;61;1
3684.18;0;68;0
3687.6;3;61;1
3694.37;0;68;0
3697.65;3;61;1
3704.37;0;68;0
3707.65;3;61;1
3714.37;0;68;0
3717.65;3;61;1
3724.55;0;68;0
3727.65;3;61;1
3734.6;0;68;0
3738.07;3;61;1
3745.02;0;68;0
3748.49;3;61;1
3755.21;0;68;0
3758.49;3;61;1
3765.43;0;68;0
3768.52;3;61;1
3775.21;0;68;0
3778.91;3;61;1
3785.21;0;68;0
3788.94;3;61;1
3795.21;0;68;0
3799.26;3;61;1
3805.21;0;68;0
3809.33;3;61;1
3815.46;2;83;0
3819.06;3;61;1
3825.5;1;41;0
3829.18;3;61;1
3835.54;1;41;0
3839.05;3;61;1
3845.84;1;41;0
3855.78;5;69;0
3865.99;5;69;0
3876.01;5;69;0
3879.64;3;168;1
3886.09;4;138;0
3896.18;4;138;0
3906.13;4;138;0
3916.23;4;138;0
3926.06;0;166;0
3936.26;2;167;0
3946.31;1;41;0
3950.19;0;166;1
3956.41;1;41;0
3966.69;3;168;0
3976.73;3;168;0
3986.75;5;69;0
3996.92;5;69;0
4006.92;4;68;0
4017.15;0;166;0
4027.19;2;50;0
4037.61;2;50;0
4047.43;5;52;1
4047.47;2;50;0
4057.47;2;50;0
4057.47;5;52;1
4067.69;2;50;0
4067.74;5;52;1
4077.74;1;10;0
4077.91;5;52;1
4087.84;1;10;0
4087.89;5;52;1
4097.6;1;10;0
4097.89;5;52;1
4107.6;1;10;0
4107.89;5;52;1
4117.89;1;10;0
4117.89;5;52;1
4128.16;1;10;0
4128.16;2;50;1
4138.41;1;10;0
4138.58;2;50;1
4148.36;1;10;0
4148.58;2;50;1
4158.17;1;10;0
4168.45;1;10;0
4178.31;3;104;0
4188.58;3;104;0
4191.66;1;10;1
4198.91;3;104;0
4201.94;1;10;1
4208.93;3;104;0
4212;1;10;1
4219;3;104;0
4221.68;1;10;1
4229.08;3;104;0
4231.94;1;10;1
4239.39;3;104;0
4242.04;1;10;1
4249.37;3;104;0
4252.44;1;10;1
4259.41;3;104;0
4262.46;1;10;1
4269.43;3;104;0
4272.47;1;10;1
4279.45;3;104;0
4282.49;1;10;1
4289.47;3;104;0
4292.51;1;10;1
4299.53;3;104;0
4302.52;1;10;1
4309.69;3;104;0
4319.76;4;68;0
4329.95;4;68;0
4332.87;3;104;1
4340;4;68;0
4350.26;4;68;0
4360.03;4;68;0
4370.13;0;83;0
4380.01;5;52;0
4383.3;4;68;1
4390.3;5;52;0
4393.34;4;68;1
4400.34;5;52;0
4403.39;4;68;1
4410.76;5;52;0
4413.34;4;68;1
4420.84;5;52;0
4423.58;4;68;1
4430.97;5;52;0
4433.28;4;68;1
4441.18;5;52;0
4451.6;5;52;0
4461.68;5;52;0
4471.98;5;52;0
4481.71;5;52;0
4491.69;5;52;0
4502.03;5;52;0
4512.11;5;52;0
4522.1;5;52;0
4532.16;5;52;0
4542.45;2;117;0
4552.87;2;117;0
4555.22;5;52;1
4562.52;2;117;0
4572.73;2;117;0
4582.56;2;117;0
4592.85;2;117;0
4602.81;1;10;0
4612.91;1;10;0
4622.98;1;10;0
4633.23;1;10;0
4643.14;1;10;0
4653.14;1;10;0
4663.36;1;10;0
4672.99;3;104;0
4683.13;3;104;0
4693.39;0;168;0
4703.44;0;168;0
4713.83;0;168;0
4723.78;0;168;0
4733.54;4;68;0
4743.87;4;68;0
4746.5;0;168;1
4754.22;4;68;0
4764.49;4;68;0
4774.62;5;50;0
4784.63;2;138;0
4794.63;1;167;0
4804.7;1;167;0
4814.96;3;10;0
4825.12;3;10;0
4828.38;5;82;1
4835.08;3;10;0
4838.67;5;82;1
4845.17;3;10;0
4849.09;5;82;1
4855.34;3;10;0
4858.85;5;82;1
4865.34;0;168;0
4869.22;5;82;1
4875.24;4;104;0
4879.26;5;82;1
4885.38;2;52;0
4888.94;5;82;1
4895.4;2;52;0
4899.01;5;82;1
4905.38;2;52;0
4909.08;5;82;1
4915.4;1;167;0
4919.04;5;82;1
4925.42;3;41;0
4929.31;5;82;1
4939.59;5;82;1
4944.78;2;68;0
4949.64;5;82;1
4955.08;2;68;0
4959.61;0;168;1
4965.11;2;68;0
4969.68;4;104;1
4975.44;5;82;0
4980.1;4;104;1
4985.5;3;41;0
4990.32;4;104;1
4995.83;3;41;0
5000.08;1;167;1
5005.71;3;41;0
5010.41;5;82;1
5020.57;5;82;1
5030.35;0;138;1
5040.51;2;10;1
5043.02;5;82;0
5050.55;1;167;1
5060.22;4;104;1
5070.55;3;116;1
5080.5;3;116;1
5090.62;3;116;1
5100.86;3;116;1
5110.55;3;116;1
5111.32;4;159;0
5120.74;3;116;1
5121.49;4;159;0
5130.76;3;116;1
5131.91;4;159;0
5140.84;3;116;1
5142.16;4;159;0
5150.76;3;116;1
5152.16;4;159;0
5160.84;3;116;1
5162.16;4;159;0
5170.76;3;116;1
5172.16;4;159;0
5180.84;3;116;1
5182.16;4;159;0
5190.9;3;116;1
5192.33;4;159;0
5201.32;3;116;1
5202.58;4;159;0
5211.74;3;116;1
5212.58;4;159;0
5222.16;3;116;1
5222.58;4;159;0
5232.44;3;116;1
5232.58;4;159;0
5242.52;3;116;1
5242.75;4;159;0
5252.44;3;116;1
5253.17;4;159;0
5262.44;5;147;1
5263.59;4;159;0
5272.58;5;147;1
5273.42;4;159;0
5282.9;5;147;1
5283.42;4;159;0
5292.9;5;147;1
5293.42;4;159;0
5302.9;5;147;1
5303.42;4;159;0
5312.9;5;147;1
5313.42;4;159;0
5322.6;5;147;1
5323.23;3;116;0
5332.82;5;147;1
5333.63;3;116;0
5343;5;147;1
5344.05;3;116;0
5353.3;5;147;1
5354.26;3;116;0
5363.36;5;147;1
5373.42;5;147;1
5383.84;5;147;1
5393.86;5;147;1
5397.79;3;104;0
5403.65;5;147;1
5413.9;5;147;1
5424.17;0;79;1
5434.32;0;79;1
5438.48;5;147;0
5444.53;0;79;1
5448.46;5;147;0
5454.6;0;79;1
5458.77;5;147;0
5464.95;0;79;1
5469.19;5;147;0
5474.95;0;79;1
5479.3;5;147;0
5484.95;0;79;1
5489.3;5;147;0
5494.95;0;79;1
5499.61;5;147;0
5505.02;0;79;1
5509.72;5;147;0
5515.44;0;79;1
5519.72;5;147;0
5525.86;0;79;1
5529.72;5;147;0
5536.19;0;79;1
5539.72;5;147;0
5546.15;0;79;1
5555.92;0;79;1
5566.17;2;60;1
5576.3;2;60;1
5579.66;0;79;0
5586.32;2;60;1
5589.4;0;79;0
5596.32;2;60;1
5599.71;0;79;0
5606.72;2;60;1
5609.76;0;79;0
5616.49;2;60;1
5619.57;0;79;0
5626.49;2;60;1
5629.57;0;79;0
5636.49;2;60;1
5639.57;0;79;0
5646.86;2;60;1
5656.72;2;60;1
5666.48;2;60;1
5676.9;2;60;1
5687.32;2;60;1
5697.41;2;60;1
5707.41;2;60;1
5717.41;2;60;1
5727.74;2;60;1
5737.83;2;60;1
5747.83;2;60;1
5757.83;2;60;1
5768.16;2;60;1
5778.25;2;60;1
5788.25;2;60;1
5798.25;2;60;1
5808.58;1;96;1
5818.63;1;96;1
5822.51;2;60;0
5829.05;1;96;1
5832.61;2;60;0
5839.22;1;96;1
5843.03;2;60;0
5849.22;1;96;1
5853.35;2;60;0
5859.22;1;96;1
5863.35;2;60;0
5869.22;1;96;1
5873.39;2;60;0
5879.32;4;159;1
5889.47;4;159;1
5894.93;1;96;0
5899.89;4;159;1
5905.09;1;96;0
5909.6;4;159;1
5915.39;1;96;0
5920.01;3;104;1
5930.39;3;104;1
5937.32;4;159;0
5940.67;3;104;1
5947.63;4;159;0
5950.81;3;104;1
5957.77;4;159;0
5960.84;3;104;1
5967.77;4;159;0
5970.99;3;104;1
5980.84;3;104;1
5990.93;3;104;1
6000.93;5;147;1
6011.08;5;147;1
6015.31;3;104;0
6021.3;5;147;1
6031.35;5;147;1
6041.45;5;147;1
6051.87;5;147;1
6054.66;3;68;0
6062.27;0;79;1
6072.61;2;60;1
6082.61;1;96;1
6092.38;4;159;1
6101.35;3;50;0
6102.56;5;17;1
6112.65;5;17;1
6122.89;5;17;1
6133.02;0;82;1
6143.17;3;50;1
6147.52;5;17;0
6153.54;2;145;1
6157.69;5;17;0
6163.96;1;70;1
6167.73;5;17;0
6174.27;4;108;1
6177.62;5;17;0
6187.78;5;17;0
6198.2;5;17;0
6208.51;5;17;0
6218.94;2;145;0
6229.36;0;94;0
6239.78;4;108;0
6250;3;149;0
6260.27;1;44;0
